,Tariff,Acorn category,Acorn group
MAC000789,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC000803,Dynamic Time of Use (dToU),ACORN-D,Affluent
MAC000810,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC000868,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC000878,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC000879,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC000898,Dynamic Time of Use (dToU),ACORN-K,Adversity
MAC000945,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC000982,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC000993,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001013,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001025,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC001033,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC001064,Dynamic Time of Use (dToU),ACORN-C,Affluent
MAC001103,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC001132,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC001136,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC001182,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001206,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001246,Dynamic Time of Use (dToU),ACORN-J,Comfortable
MAC001264,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC001274,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001279,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001285,Dynamic Time of Use (dToU),ACORN-N,Adversity
MAC001290,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC001335,Dynamic Time of Use (dToU),ACORN-G,Comfortable
MAC001336,Dynamic Time of Use (dToU),ACORN-K,Adversity
MAC001351,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC001372,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC001405,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001410,Dynamic Time of Use (dToU),ACORN-B,Affluent
MAC001413,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC001420,Dynamic Time of Use (dToU),ACORN-D,Affluent
MAC001440,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC001447,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC001480,Dynamic Time of Use (dToU),ACORN-N,Adversity
MAC001487,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001512,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC001538,Dynamic Time of Use (dToU),ACORN-I,Comfortable
MAC001542,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC001597,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC001645,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC001680,Dynamic Time of Use (dToU),ACORN-G,Comfortable
MAC001700,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC001712,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001718,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC001833,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001840,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC001849,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001856,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001858,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC001880,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC001910,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC001976,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC001993,Dynamic Time of Use (dToU),ACORN-N,Adversity
MAC002022,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC002040,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC002075,Dynamic Time of Use (dToU),ACORN-G,Comfortable
MAC002113,Dynamic Time of Use (dToU),ACORN-A,Affluent
MAC002164,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002182,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC002201,Dynamic Time of Use (dToU),ACORN-C,Affluent
MAC002219,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC002242,Dynamic Time of Use (dToU),ACORN-N,Adversity
MAC002264,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002265,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002268,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002277,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC002291,Dynamic Time of Use (dToU),ACORN-K,Adversity
MAC002336,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002344,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC002346,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC002421,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002445,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC002446,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002448,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC002452,Dynamic Time of Use (dToU),ACORN-P,Adversity
MAC002463,Dynamic Time of Use (dToU),ACORN-O,Adversity
MAC002464,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC002508,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002534,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002536,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002552,Dynamic Time of Use (dToU),ACORN-A,Affluent
MAC002560,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002566,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC002574,Dynamic Time of Use (dToU),ACORN-G,Comfortable
MAC002596,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002645,Dynamic Time of Use (dToU),ACORN-D,Affluent
MAC002665,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC002668,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC002678,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC002679,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002686,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002690,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002701,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC002712,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002722,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC002769,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC002786,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC002792,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002794,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC002809,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002827,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002848,Dynamic Time of Use (dToU),ACORN-K,Adversity
MAC002918,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC002931,Dynamic Time of Use (dToU),ACORN-D,Affluent
MAC002932,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC002982,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC002997,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC003080,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC003097,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC003099,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC003102,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC003124,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC003140,Dynamic Time of Use (dToU),ACORN-G,Comfortable
MAC003157,Dynamic Time of Use (dToU),ACORN-C,Affluent
MAC003175,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC003211,Dynamic Time of Use (dToU),ACORN-A,Affluent
MAC003256,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC003257,Dynamic Time of Use (dToU),ACORN-A,Affluent
MAC003277,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC003308,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC003334,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC003372,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC003427,Dynamic Time of Use (dToU),ACORN-C,Affluent
MAC003461,Dynamic Time of Use (dToU),ACORN-J,Comfortable
MAC003474,Dynamic Time of Use (dToU),ACORN-A,Affluent
MAC003502,Dynamic Time of Use (dToU),ACORN-D,Affluent
MAC003503,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC003505,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC003525,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC003531,Dynamic Time of Use (dToU),ACORN-G,Comfortable
MAC003541,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC003550,Dynamic Time of Use (dToU),ACORN-M,Adversity
MAC003555,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC003580,Dynamic Time of Use (dToU),ACORN-C,Affluent
MAC003588,Dynamic Time of Use (dToU),ACORN-N,Adversity
MAC003606,Dynamic Time of Use (dToU),ACORN-A,Affluent
MAC003652,Dynamic Time of Use (dToU),ACORN-U,ACORN-U
MAC003661,Dynamic Time of Use (dToU),ACORN-J,Comfortable
MAC003669,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC003682,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC003705,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC003708,Dynamic Time of Use (dToU),ACORN-D,Affluent
MAC003745,Dynamic Time of Use (dToU),ACORN-C,Affluent
MAC003771,Dynamic Time of Use (dToU),ACORN-G,Comfortable
MAC003783,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC003807,Dynamic Time of Use (dToU),ACORN-A,Affluent
MAC003820,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC003823,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC003865,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC003915,Dynamic Time of Use (dToU),ACORN-I,Comfortable
MAC003947,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC003951,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC003968,Dynamic Time of Use (dToU),ACORN-G,Comfortable
MAC004000,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004008,Dynamic Time of Use (dToU),ACORN-P,Adversity
MAC004031,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC004037,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC004054,Dynamic Time of Use (dToU),ACORN-A,Affluent
MAC004062,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004065,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC004076,Dynamic Time of Use (dToU),ACORN-O,Adversity
MAC004100,Dynamic Time of Use (dToU),ACORN-P,Adversity
MAC004107,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC004118,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004122,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC004126,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC004144,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004149,Dynamic Time of Use (dToU),ACORN-J,Comfortable
MAC004155,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC004206,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC004234,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC004236,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC004246,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC004263,Dynamic Time of Use (dToU),ACORN-D,Affluent
MAC004320,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004331,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC004350,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC004361,Dynamic Time of Use (dToU),ACORN-G,Comfortable
MAC004366,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC004392,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004419,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC004493,Dynamic Time of Use (dToU),ACORN-N,Adversity
MAC004506,Dynamic Time of Use (dToU),ACORN-J,Comfortable
MAC004525,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004561,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004606,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004668,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004709,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC004711,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC004714,Dynamic Time of Use (dToU),ACORN-D,Affluent
MAC004716,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004719,Dynamic Time of Use (dToU),ACORN-K,Adversity
MAC004728,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004757,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004762,Dynamic Time of Use (dToU),ACORN-G,Comfortable
MAC004770,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004795,Dynamic Time of Use (dToU),ACORN-M,Adversity
MAC004811,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC004818,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC004821,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC004827,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004880,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC004948,Dynamic Time of Use (dToU),ACORN-D,Affluent
MAC004968,Dynamic Time of Use (dToU),ACORN-D,Affluent
MAC004969,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC005006,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005068,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005069,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC005083,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005091,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005093,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005110,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC005121,Dynamic Time of Use (dToU),ACORN-P,Adversity
MAC005148,Dynamic Time of Use (dToU),ACORN-O,Adversity
MAC005157,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC005159,Dynamic Time of Use (dToU),ACORN-A,Affluent
MAC005171,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005256,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC005278,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005306,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005308,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005341,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC005347,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005359,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005396,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC005427,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005429,Dynamic Time of Use (dToU),ACORN-F,Comfortable
MAC005432,Dynamic Time of Use (dToU),ACORN-L,Adversity
MAC005448,Dynamic Time of Use (dToU),ACORN-H,Comfortable
MAC005474,Dynamic Time of Use (dToU),ACORN-Q,Adversity
MAC005488,Dynamic Time of Use (dToU),ACORN-E,Affluent
MAC005489,Dynamic Time of Use (dToU),ACORN-C,Affluent
MAC005492,Dynamic Time of Use (dToU),ACORN-,ACORN-
MAC005522,Dynamic Time of Use (dToU),ACORN-J,Comfortable
MAC005533,Dynamic Time of Use (dToU),ACORN-G,Comfortable
