,0
799,2
800,4
801,2
802,2
803,2
804,3
805,4
806,2
807,4
808,1
809,1
810,3
811,2
812,2
813,1
814,2
815,1
816,1
817,1
818,4
819,4
820,1
821,3
822,4
823,2
824,2
825,2
826,3
827,4
828,4
829,3
830,3
831,4
832,3
833,1
834,3
835,2
836,1
837,3
838,2
839,3
840,1
841,3
842,4
843,3
844,0
845,1
846,2
847,4
848,1
849,4
850,1
851,2
852,2
853,0
854,4
855,2
856,0
857,4
858,3
859,4
860,0
861,4
862,1
863,4
864,4
865,0
866,1
867,2
868,2
869,0
870,4
871,4
872,4
873,1
874,2
875,3
876,2
877,0
878,2
879,2
880,2
881,0
882,2
883,2
884,0
885,3
886,4
887,0
888,2
889,2
890,0
891,0
892,3
893,4
894,2
895,3
896,1
897,3
898,3
899,2
900,0
901,1
902,4
903,2
904,4
905,3
906,4
907,2
908,3
909,0
910,0
911,1
912,3
913,0
914,1
915,3
916,4
917,3
918,2
919,1
920,1
921,2
922,4
923,0
924,1
925,4
926,3
927,3
928,3
929,1
930,3
931,0
932,2
933,3
934,1
935,3
936,3
937,1
938,1
939,1
940,0
941,3
942,4
943,3
944,1
945,4
946,3
947,3
948,4
949,2
950,3
951,0
952,3
953,0
954,4
955,1
956,0
957,4
958,4
959,0
960,3
961,4
962,3
963,3
964,0
965,4
966,2
967,2
968,2
969,0
970,3
971,2
972,1
973,3
974,2
975,1
976,4
977,2
978,3
979,1
980,1
981,0
982,1
983,0
984,1
985,0
986,2
987,1
988,2
989,2
990,1
991,0
992,1
993,3
994,4
995,0
996,3
997,1
998,4
999,4
